01 Air	1	10,11
Section		49	10
Platoon/Detachment		50	10
Company		51	10
Battalion		52	10
Regiment/Group		53	10
Brigade		54	10
Division		55	10
27 Dismounted Individual	2	10
Unspecified		0	10
Airborne		1	10
Bicycle Equipped		2	10
Demolition		3	10
Functional Staff Area J1		4	10
Functional Staff Area J2		5	10
Functional Staff Area J3		6	10
Functional Staff Area J4		7	10
Functional Staff Area J5		8	10
Functional Staff Area J6		9	10
Functional Staff Area J7		10	10
Functional Staff Area J8		11	10
Functional Staff Area J9		12	10
Mountain		13	10
Rank OF-1		14	10
Rank OF-2		15	10
Rank OF-3		16	10
Rank OF-4		17	10
Rank OF-5		18	10
Rank OF-6		19	10
Rank OF-7		20	10
Rank OF-8		21	10
Rank OF-9		22	10
Rank OF-10		23	10
Rank OF-D		24	10
Rank OR-1		25	10
Rank OR-2		26	10
Rank OR-3		27	10
Rank OR-4		28	10
Rank OR-5		29	10
Rank OR-6		30	10
Rank OR-7		31	10
Rank OR-8		32	10
Rank OR-9		33	10
Rank WO-1		34	10
Rank WO-2		35	10
Rank WO-3		36	10
Rank WO-4		37	10
Rank WO-5		38	10
30 Sea Surface	1	10,11
Unspecified	Mission Area	0	10,11
Own Ship	Mission Area	1	10,11
Antiair Warfare	Mission Area	2	10,11
Antisubmarine Warfare	Mission Area	3	10,11
Escort	Mission Area	4	10,11
Electronic Warfare	Mission Area	5	10,11
"Intelligence, Surveillance, Reconnaissance"	Mission Area	6	10,11
Mine Countermeasures	Mission Area	7	10,11
Missile Defense	Mission Area	8	10,11
Medical	Mission Area	9	10,11
Mine Warfare	Mission Area	10	10,11
Remote Mult-imission Vehicle (RMV)	Mission Area	11	10,11
Special Operations Forces (SOF)	Asset Capability	12	10,11
Surface Warfare	Mission Area	13	10,11
Ballistic Missile	Weapons Capability	14	10,11
Guided Missile	Weapons Capability	15	10,11
Other Guided Missile	Weapons Capability	16	10,11
Torpedo	Weapons Capability	17	10,11
Drone-Equipped	Asset Capability	18	10,11
Helicopter-Equipped/VSTOL	Asset Capability	19	10,11
"Ballistic Missile Defense, Shooter"	Mission Area	20	10,11
"Ballistic Missile Defense, Long-Range Surveillance and Track (LRS&T)"	Mission Area	21	10,11
Sea-Base X-Band	Mission Area	22	10,11
Hijacking/Hijacked	Crime	23	10,11
Hijacker	Crime	24	11
Cyberspace	Capability	25	11
30 Sea Surface	2	10,11
Unspecified		0	10,11
Nuclear Powered	Ship Propulsion	1	10,11
Heavy	Ship Capacity	2	10,11
Light	Ship Capacity	3	10,11
