00 Common	1	15,16
Rank E-8		32	15
Rank E-9		33	15
Rank OF-1		14	16
Rank OF-2		15	16
Rank OF-3		16	16
Rank OF-4		17	16
Rank OF-5		18	16
Rank OF-6		19	16
Rank OF-7		20	16
Rank OF-8		21	16
Rank OF-9		22	16
Rank OF-10		23	16
Rank OF-D		24	16
Rank OR-1		25	16
Rank OR-2		26	16
Rank OR-3		27	16
Rank OR-4		28	16
Rank OR-5		29	16
Rank OR-6		30	16
Rank OR-7		31	16
Rank OR-8		32	16
Rank OR-9		33	16
Rank WO-1		34	15,16
Rank WO-2		35	15,16
Rank WO-3		36	15,16
Rank WO-4		37	15,16
Rank WO-5		38	15,16
30 Sea Surface	1	15,16
Unspecified	Mission Area	0	15,16
Own Ship		1	16
Antiair Warfare	Mission Area	2	15
Missile Defense	Mission Area	8	15
Remote Multi-mission Vehicle (RMV)	Mission Area	11	15,16
Torpedo	Weapons Capability	17	15,16
Ballistic Missile Defense, Long-Range Surveillance and Track (LRS&T)	Mission Area	21	15,16
Sea-Base X-Band	Mission Area	22	15,16
30 Sea Surface	2	15,16
Unspecified		0	15,16
Nuclear Powered	Ship Propulsion	1	15,16
Dock	Cargo Capacity	5	15,16
Logistics	Cargo Capacity	6	15,16
Tank	Cargo Capacity	7	15,16
Vehicle	Cargo Capacity	8	15,16
Fast	Ship Mobility	9	15,16
Air-Cushioned (US)	Ship Mobility	10	15,16
Air-Cushioned (NATO)	Ship Mobility	11	15,16
Hydrofoil	Ship Mobility	12	15,16
35 Sea Subsurface	1	15,16
Unspecified		0	15,16
Auxiliary	Mission Area	2	15,16
Possible Submarine Low 1	Submarine Confidence	13	15,16
Possible Submarine Low 2	Submarine Confidence	14	15,16
Possible Submarine High 3	Submarine Confidence	15	15,16
Possible Submarine High 4	Submarine Confidence	16	15,16
Probable Submarine	Submarine Confidence	17	15,16
Certain Submarine	Submarine Confidence	18	15,16
Anti-torpedo Torpedo	Weapons Capability	19	15,16
35 Sea Subsurface	2	15,16
Unspecified		0	15,16
Air Independent Propulsion	Ship Propulsion	1	15,16
Diesel Electric, General	Ship Propulsion	2	15,16
Diesel - Type 1	Ship Propulsion	3	15,16
Diesel - Type 2	Ship Propulsion	4	15,16
Diesel - Type 3	Ship Propulsion	5	15,16
Nuclear Powered, General	Ship Propulsion	6	15,16
Nuclear - Type 1	Ship Propulsion	7	15,16
Nuclear - Type 2	Ship Propulsion	8	15,16
Nuclear - Type 3	Ship Propulsion	9	15,16
Nuclear - Type 4	Ship Propulsion	10	15,16
Nuclear - Type 5	Ship Propulsion	11	15,16
Nuclear - Type 6	Ship Propulsion	12	15,16
Nuclear - Type 7	Ship Propulsion	13	15,16
36 Mine Warfare	1	15,16
